EAN,Código Interno,Nombre Producto,Categoría,Subcategoría,Marca,Fabricante,Precio de Lista,Precio de Oferta,Tipo de Oferta,URL
7798349420209,,edp my life las oreiro 60 ml,mayonesas,GENERAL,LAS OREIRO,,35687.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798349420209&P=1
7798332020430,,edp rose intense woman boss 90 ml,mayonesas,GENERAL,BOSS,,43849.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798332020430&P=1
7798332021994,,edp signature her boos 100 ml,mayonesas,GENERAL,BOOS,,42203.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798332021994&P=1
7798332024162,,edp signature prive boss 100 ml,mayonesas,GENERAL,BOSS,,42000.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798332024162&P=1
7791600779467,,edt esmeralda c/ vaporizador la martina 100 ml,mayonesas,GENERAL,LA MARTINA,,28929.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600779467&P=1
7791600167691,,edt hombre gino bogani 90 ml,mayonesas,GENERAL,GINO BOGANI,,28690.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600167691&P=1
7798175718792,,edt intense limiere boos 90 ml,mayonesas,GENERAL,BOOS,,43849.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798175718792&P=1
7792459251067,,balde premium c/escurridor la gauchita 1 un,mayonesas,GENERAL,LA GAUCHITA,,15152.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7792459251067&P=1
7791053000101,,mopa de algodon costero 1 un,mayonesas,GENERAL,COSTERO,,3158.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791053000101&P=1
7790900003708,,repuesto mopa turbo iberia 1 un,mayonesas,GENERAL,IBERIA,,12047.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790900003708&P=1
7896001001336,,mopa plana repuesto novica 1 un,mayonesas,GENERAL,NOVICA,,10530.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7896001001336&P=1
7790117001375,,bolsa multiuso hermetica separata 9 un,mayonesas,GENERAL,SEPARATA,,2305.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790117001375&P=1
7794950555514,,bolsa residuo 0.45 x 0.60 resisten-t 30 un,mayonesas,GENERAL,RESISTEN-T,,3599.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794950555514&P=1
